Account Id,Brand
22205,SKY
22211,SKY
22212,SKY
22213,SKY
22216,SKY
22218,SKY
22223,SKY
22226,SKY
22228,SKY
22229,SKY
22233,SKY
22234,SKY
22235,SKY
22236,SKY
22237,SKY
22242,SKY
22243,SKY
22246,SKY
22252,SKY
22258,SKY
22259,SKY
22264,SKY
22265,SKY
22266,SKY
22267,SKY
22275,SKY
22276,SKY
22280,SKY
22282,SKY
22285,SKY
22287,SKY
22294,SKY
22296,SKY
22297,SKY
22310,SKY
22316,SKY
22323,SKY
22327,SKY
22328,SKY
22332,SKY
22333,SKY
22337,SKY
22342,SKY
22343,SKY
22364,SKY
22367,SKY
22369,SKY
22370,SKY
22372,SKY
22377,SKY
22378,SKY
22380,SKY
22384,SKY
22386,SKY
22390,SKY
22392,SKY
22397,SKY
22406,SKY
22409,SKY
22412,SKY
22414,SKY
22416,SKY
22417,SKY
22421,SKY
22422,SKY
22425,SKY
22427,SKY
22432,SKY
22433,SKY
22442,SKY
22443,SKY
22444,SKY
22447,SKY
22448,SKY
22456,SKY
22457,SKY
22458,SKY
22464,SKY
22465,SKY
22466,SKY
22471,SKY
22473,SKY
22475,SKY
22483,SKY
22487,SKY
22489,SKY
22490,SKY
22499,SKY
22500,SKY
22521,SKY
22522,SKY
22523,SKY
22524,SKY
22527,SKY
22529,SKY
22535,SKY
22536,SKY
22537,SKY
22542,SKY
22543,SKY
22553,SKY
22557,SKY
22559,SKY
22561,SKY
22564,SKY
22572,SKY
22575,SKY
22581,SKY
22586,SKY
22587,SKY
22588,SKY
22589,SKY
22590,SKY
22591,SKY
22593,SKY
22594,SKY
22597,SKY
22598,SKY
22599,SKY
22600,SKY
22605,SKY
22607,SKY
22611,SKY
22612,SKY
22620,SKY
22624,SKY
22625,SKY
22631,SKY
22635,SKY
22638,SKY
22646,SKY
22652,SKY
22653,SKY
22657,SKY
22661,SKY
22677,SKY
22680,SKY
22681,SKY
22682,SKY
22683,SKY
22686,SKY
22687,SKY
22689,SKY
22690,SKY
22692,SKY
22698,SKY
22699,SKY
22701,SKY
22703,SKY
22706,SKY
22709,SKY
22711,SKY
22712,SKY
22713,SKY
22716,SKY
22718,SKY
22719,SKY
22722,SKY
22723,SKY
22728,SKY
22729,SKY
22730,SKY
22732,SKY
22733,SKY
22737,SKY
22740,SKY
22741,SKY
22742,SKY
22743,SKY
22744,SKY
22746,SKY
22750,SKY
22753,SKY
22754,SKY
22755,SKY
22759,SKY
22762,SKY
22772,SKY
22774,SKY
22777,SKY
22778,SKY
22788,SKY
22789,SKY
22809,SKY
22812,SKY
22816,SKY
22819,SKY
22821,SKY
22824,SKY
22827,SKY
22833,SKY
22839,SKY
22844,SKY
22849,SKY
22856,SKY
22858,SKY
22860,SKY
22862,SKY
22863,SKY
22866,SKY
22870,SKY
22875,SKY
22880,SKY
22882,SKY
22891,SKY
22892,SKY
22898,SKY
22910,SKY
22912,SKY
22914,SKY
22918,SKY
22919,SKY
22926,SKY
22927,SKY
22929,SKY
22935,SKY
22938,SKY
22942,SKY
22944,SKY
22949,SKY
22950,SKY
22951,SKY
22955,SKY
22960,SKY
22961,SKY
22965,SKY
22968,SKY
22969,SKY
22970,SKY
22972,SKY
22983,SKY
22984,SKY
22985,SKY
22986,SKY
22990,SKY
22993,SKY
22994,SKY
22995,SKY
22999,SKY
23016,SKY
23022,SKY
23030,SKY
23032,SKY
23036,SKY
23038,SKY
23040,SKY
23043,SKY
23045,SKY
23046,SKY
23049,SKY
23051,SKY
23053,SKY
23054,SKY
23055,SKY
23059,SKY
23062,SKY
23066,SKY
23069,SKY
23071,SKY
23072,SKY
23086,SKY
23089,SKY
23091,SKY
23094,SKY
23096,SKY
23097,SKY
23100,SKY
23107,SKY
23109,SKY
23110,SKY
23114,SKY
23121,SKY
23122,SKY
23123,SKY
23125,SKY
23126,SKY
23127,SKY
23135,SKY
23141,SKY
23145,SKY
23150,SKY
23163,SKY
23164,SKY
23165,SKY
23167,SKY
23171,SKY
23175,SKY
23177,SKY
23183,SKY
23184,SKY
23189,SKY
23191,SKY
23192,SKY
23199,SKY
23204,SKY
23207,SKY
23212,SKY
23213,SKY
23214,SKY
23216,SKY
23217,SKY
23220,SKY
23224,SKY
23225,SKY
23230,SKY
23240,SKY
23251,SKY
23258,SKY
23260,SKY
23269,SKY
23270,SKY
23272,SKY
23274,SKY
23276,SKY
23283,SKY
23286,SKY
23288,SKY
23290,SKY
23292,SKY
23293,SKY
23294,SKY
23295,SKY
23296,SKY
23297,SKY
23302,SKY
23305,SKY
23306,SKY
23315,SKY
23323,SKY
23324,SKY
23325,SKY
23326,SKY
23327,SKY
23328,SKY
23329,SKY
23330,SKY
23335,SKY
23336,SKY
23339,SKY
23343,SKY
23345,SKY
23346,SKY
23350,SKY
23352,SKY
23353,SKY
23356,SKY
23357,SKY
23360,SKY
23361,SKY
23364,SKY
23366,SKY
23367,SKY
23372,SKY
23374,SKY
23376,SKY
23377,SKY
23378,SKY
23384,SKY
23392,SKY
23395,SKY
23396,SKY
23397,SKY
23398,SKY
23399,SKY
23400,SKY
23402,SKY
23403,SKY
23404,SKY
23405,SKY
23409,SKY
23411,SKY
23412,SKY
23414,SKY
23419,SKY
23421,SKY
23430,SKY
23431,SKY
23434,SKY
23437,SKY
23438,SKY
23442,SKY
23444,SKY
23445,SKY
23446,SKY
23452,SKY
23458,SKY
23459,SKY
23462,SKY
23464,SKY
23465,SKY
23469,SKY
23470,SKY
23477,SKY
23478,SKY
23482,SKY
23485,SKY
23486,SKY
23490,SKY
23491,SKY
23492,SKY
23497,SKY
23501,SKY
23502,SKY
23503,SKY
23506,SKY
23507,SKY
23511,SKY
23513,SKY
23514,SKY
23516,SKY
23519,SKY
23521,SKY
23525,SKY
23526,SKY
23528,SKY
23536,SKY
23538,SKY
